ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
East Midlands,E06000018,Nottingham,277365,273537,270739,268939,271769,275547,279624,284834,286459,288164,290783,294808,299753,303899,307436,308681,310339,313265,317625,320378,322323,323160,322822,319978,328513
East Midlands,E07000170,Ashfield,108652,109697,110126,111477,112488,113048,114105,115020,115704,116301,116971,117875,118566,119522,119990,121352,122199,123115,123989,125410,126076,126521,126687,126356,127179
East Midlands,E07000171,Bassetlaw,105235,106387,106847,107843,108451,109276,110017,110488,110876,111314,112106,112563,112924,113003,113248,113577,114026,114393,114879,115757,116212,116485,117068,118327,120012
East Midlands,E07000174,Mansfield,98885,99437,98910,98065,98367,99250,99706,100413,101347,102139,103269,103711,104120,104551,104995,105771,106514,107510,108952,109461,109946,110237,109964,110592,111117
East Midlands,E07000175,Newark and Sherwood,104588,105291,105556,106351,106954,108359,109776,110553,111534,112471,113309,113914,114596,114982,115773,116670,117638,118248,119388,120455,121025,121624,121831,123352,125089
East Midlands,E07000172,Broxtowe,108174,108276,107728,107481,107832,107822,108085,108290,108254,108272,108730,109217,109252,109749,110300,110470,110527,110398,110346,110573,110937,111257,111397,110796,112113
East Midlands,E07000173,Gedling,112068,111926,111474,111812,111943,111684,111847,111919,111699,111924,112293,112688,113066,113741,114062,114963,115840,115977,116418,116451,117092,117129,117141,117291,117730
East Midlands,E07000176,Rushcliffe,103644,104051,104777,105780,106546,106987,107430,107832,108413,108909,109393,110137,111121,111248,111243,112316,112623,113009,113450,114226,115461,116647,118030,119418,121582
East Midlands,E06000016,Leicester,290009,285940,283787,282757,285295,288648,294127,301543,306548,311303,315473,319708,324912,329627,334099,338852,342917,349853,356789,361895,367094,369776,368922,366940,373399
East Midlands,E06000017,Rutland,32553,33537,34141,34598,35295,35559,35623,36115,36510,37110,37478,37417,37670,37581,37114,37833,38294,38438,39044,39831,40053,40175,40633,41342,41151
East Midlands,E07000129,Blaby,87259,88378,89429,90361,91225,91592,91664,91721,92266,92741,93341,93511,93935,94132,94656,95045,95964,96604,98014,99366,100767,101777,102293,103271,104182
East Midlands,E07000130,Charnwood,151229,153008,153060,153554,153431,153664,154740,155768,157153,158667,160509,162330,164346,165876,167474,168766,170946,172909,174625,176997,179191,180988,182108,182906,184748
East Midlands,E07000131,Harborough,73388,73941,75320,76818,78226,79118,79860,80486,81492,82593,83417,84132,84849,85699,86350,87346,87991,89402,90610,91718,92648,93661,95288,98254,100481
East Midlands,E07000132,Hinckley and Bosworth,98700,99761,99749,100202,100482,101210,101953,102431,102996,103450,104179,104473,104734,105328,105955,106415,107468,108609,109920,111431,112245,112688,113051,113653,114298
East Midlands,E07000133,Melton,45882,47047,47515,47875,48080,48429,48618,48605,48724,49153,49287,49481,50077,50495,50814,50891,50990,51013,51146,51113,51331,51470,51583,51756,52433
East Midlands,E07000134,North West Leicestershire,83493,84227,84938,85678,86842,87794,88845,89623,90406,91476,92283,92728,93165,93670,93805,94358,95270,96362,97729,99315,101195,102461,103344,105004,107672
East Midlands,E07000135,Oadby and Wigston,54016,55203,55624,55791,55779,56161,56454,56218,56519,56475,56220,55600,55186,55979,56044,56060,56783,56216,56044,57516,57713,57772,57869,57788,58341
East Midlands,E06000062,West Northamptonshire,340110,342215,343409,345893,349123,351689,353110,357438,362435,365907,368454,371268,373456,376008,380827,385699,391024,397939,405019,411732,417242,422168,422559,426707,429013
East Midlands,E06000061,North Northamptonshire,275309,278511,282093,285093,287657,290977,293506,297012,301168,306155,309747,312196,314555,317959,322316,325788,330649,335250,341647,347704,351998,354848,356437,360418,363408
East Midlands,E07000136,Boston,55026,54889,55182,55802,56391,56975,58090,58551,59770,61036,62176,63399,64475,64615,65264,66612,67142,67586,68589,69673,70132,70226,70181,70815,70806
East Midlands,E07000137,East Lindsey,125272,126918,129221,130654,132144,133218,134889,135473,135960,136939,137466,137140,137251,136683,136431,136399,137342,137753,138488,140072,141073,142039,141665,142916,144415
East Midlands,E07000138,Lincoln,83920,84662,85032,85584,85669,86405,87746,88603,89433,89873,90207,90813,92188,93085,95501,97452,98482,99442,100679,102241,103212,103604,103531,102411,102545
East Midlands,E07000139,North Kesteven,87303,90116,92271,94378,96898,98593,99943,100710,102275,103844,105495,106456,107478,108518,109139,109654,110746,111665,113063,114423,114860,115821,117057,118502,119709
East Midlands,E07000140,South Holland,73576,74377,75612,76714,77918,79299,80832,81696,83158,84506,85957,86987,87905,88390,88502,89046,89914,90802,91970,92587,92964,93467,94029,95490,96983
East Midlands,E07000141,South Kesteven,123013,123622,124190,124877,125485,126209,127129,127665,128966,130196,131218,132188,133144,134125,135092,136342,138082,138915,140409,141116,141616,142212,142869,143751,144249
East Midlands,E07000142,West Lindsey,77884,78125,78655,79631,81075,82498,83786,84626,85852,87345,88261,88616,89364,89352,89878,90396,91273,92188,92943,92919,93424,93894,94278,95555,96817
West Midlands,E06000019,"Herefordshire, County of",171014,171997,173612,174885,175258,175648,176033,176587,178103,179930,181791,182367,182865,183619,184208,184748,185523,185778,186225,186687,186511,186373,185886,187522,188719
West Midlands,E07000234,Bromsgrove,86625,86692,87036,87904,89021,89984,90516,91046,91734,92563,93097,93444,93507,93732,94179,94530,95380,95440,96254,96703,97315,98339,98837,99449,100076
West Midlands,E07000235,Malvern Hills,72374,72062,71975,72171,72655,72885,73166,73425,73748,74020,74192,74141,74542,74706,75116,75454,76208,76024,76391,76696,77362,77872,78288,79969,81024
West Midlands,E07000236,Redditch,77819,78278,78583,78779,79069,79466,79654,80110,81077,81762,82713,83102,83570,84318,84667,85072,85266,85866,86432,86463,86186,86307,86561,86981,87132
West Midlands,E07000237,Worcester,92445,92474,93068,93369,93446,93873,93843,94470,95024,95532,96416,97117,97655,98679,100082,101295,102267,103093,104696,105321,105303,105137,104399,103628,104120
West Midlands,E07000238,Wychavon,109249,110921,111937,113081,113453,113914,114258,114696,115451,116141,116229,116499,116863,117074,117858,118841,120170,121990,123632,125694,127335,129003,130419,133084,134536
West Midlands,E07000239,Wyre Forest,96830,96952,97014,96929,96830,97149,97223,97585,97666,98017,98143,97993,97943,98048,98217,98678,99441,100052,100557,101163,101491,101592,101315,101791,102328
West Midlands,E07000218,North Warwickshire,61781,61810,61888,61788,61825,61749,61769,61894,61920,61839,61968,62124,62066,62089,62099,62057,62292,62681,62908,63517,64098,64383,64271,65338,65946
West Midlands,E07000219,Nuneaton and Bedworth,118227,118454,118447,119239,119625,120541,120668,121048,121787,122661,123868,124330,124759,125409,126438,127275,127980,128588,129899,131138,131830,132953,133688,134303,135481
West Midlands,E07000220,Rugby,85785,86155,86319,87520,88653,89050,89998,91321,93051,94748,96434,97662,99035,100496,101509,102851,104734,106327,107555,108671,109418,110998,112672,114835,116436
West Midlands,E07000221,Stratford-on-Avon,110727,110152,110547,111551,112258,112992,113483,114823,116708,118478,119666,119826,120191,120824,121005,121548,122142,122850,123729,125624,127565,129816,131979,135946,138583
West Midlands,E07000222,Warwick,122555,122994,123989,126095,128330,130724,132719,134567,135593,136655,137448,138189,138115,137736,139225,139447,140306,141025,142534,143353,145478,146005,146643,148693,151158
West Midlands,E06000020,Telford and Wrekin,152900,153730,155846,158573,159401,159848,160603,161535,162710,163368,164089,164889,165641,166831,167964,169014,170610,172898,175352,177528,179548,182081,183483,185857,188871
